Date,Interval,Customer Eco Parent,Customer Ecosystem,Primary Staff Group,Offered,Handled,Average Speed of Answer,Service Level,Average Handle Time,Transfers,Forecasted Offered,Forecasted Handled,Forecasted AHT,Timesamp,SLA Numeric
Mon 12/22/2025,12:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_DE_OMNI_SG,0,0,-,-,-,0,1,1,24.5,12/22/2025 0:00:00,#VALUE!
Mon 12/22/2025,12:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_FR_OMNI_SG,1,1,0.3,100.00%,39.6,0,0,0,25.9,12/22/2025 0:00:00,100
Mon 12/22/2025,12:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_IT_OMNI_SG,1,1,0.1,100.00%,32.3,0,0,0,31,12/22/2025 0:00:00,100
Mon 12/22/2025,12:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_SP_OMNI_SG,1,1,0.1,100.00%,52.4,0,1,1,35,12/22/2025 0:00:00,100
Mon 12/22/2025,12:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_GE_EN_MSG_SSG,21,21,0.3,100.00%,24.4,0,14,14,29,12/22/2025 0:00:00,100
Mon 12/22/2025,12:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_HV_EN_MSG_SSG,7,6,0.4,100.00%,27.3,0,5,5,29,12/22/2025 0:00:00,100
Mon 12/22/2025,12:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_HV_EN_PHN_SSG,1,1,0.4,100.00%,5.7,0,2,2,14,12/22/2025 0:00:00,100
Mon 12/22/2025,12:00:00 AM,Other-SBSEG,Payments Risk,SBG_US_OL_PCS_EN_MSG_SG,0,0,-,-,-,0,0,0,19.8,12/22/2025 0:00:00,#VALUE!
Mon 12/22/2025,12:00:00 AM,QB Live,QB Live,SBSEG_QBL_DIWM_US_PHN,1,0,-,100.00%,-,0,0,0,-,12/22/2025 0:00:00,100
Mon 12/22/2025,12:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_DE_OMNI_SG,0,0,-,-,-,0,1,1,24.5,12/22/2025 0:30:00,#VALUE!
Mon 12/22/2025,12:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_FR_OMNI_SG,0,0,-,-,-,0,0,0,25.9,12/22/2025 0:30:00,#VALUE!
Mon 12/22/2025,12:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_IT_OMNI_SG,5,5,0.9,100.00%,15.4,0,1,1,31,12/22/2025 0:30:00,100
Mon 12/22/2025,12:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_SP_OMNI_SG,3,3,0.1,100.00%,27.8,0,1,1,35,12/22/2025 0:30:00,100
Mon 12/22/2025,12:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_GE_EN_MSG_SSG,15,15,0.3,100.00%,25.7,0,17,17,29,12/22/2025 0:30:00,100
Mon 12/22/2025,12:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_HV_EN_MSG_SSG,6,7,0.2,100.00%,23.8,0,11,11,29,12/22/2025 0:30:00,100
Mon 12/22/2025,12:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_HV_EN_PHN_SSG,5,3,1.3,100.00%,7.9,0,2,2,14,12/22/2025 0:30:00,100
Mon 12/22/2025,12:30:00 AM,Other-SBSEG,Payments Risk,SBG_US_OL_PCS_EN_MSG_SG,0,0,-,-,-,0,0,0,19.8,12/22/2025 0:30:00,#VALUE!
Mon 12/22/2025,12:30:00 AM,QB Live,QB Live,SBSEG_QBL_DIWM_US_PHN,1,1,0,100.00%,0.2,0,0,0,-,12/22/2025 0:30:00,100
Mon 12/22/2025,1:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_DE_OMNI_SG,2,1,0.6,100.00%,0.7,0,0,0,24.5,12/22/2025 1:00:00,100
Mon 12/22/2025,1:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_FR_OMNI_SG,1,1,0.1,100.00%,44.7,0,1,1,25.9,12/22/2025 1:00:00,100
Mon 12/22/2025,1:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_IT_OMNI_SG,2,2,0.3,100.00%,39.9,0,1,1,31,12/22/2025 1:00:00,100
Mon 12/22/2025,1:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_SP_OMNI_SG,2,2,0.2,100.00%,30.2,0,2,2,35,12/22/2025 1:00:00,100
Mon 12/22/2025,1:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_GE_EN_MSG_SSG,17,17,0.3,100.00%,30.1,0,16,16,29,12/22/2025 1:00:00,100
Mon 12/22/2025,1:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_HV_EN_MSG_SSG,5,5,0.5,100.00%,23.2,0,7,7,29,12/22/2025 1:00:00,100
Mon 12/22/2025,1:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_HV_EN_PHN_SSG,1,0,-,100.00%,-,0,2,2,14,12/22/2025 1:00:00,100
Mon 12/22/2025,1:00:00 AM,Other-SBSEG,Payments Risk,SBG_US_OL_PCS_EN_MSG_SG,0,0,-,-,-,0,0,0,19.8,12/22/2025 1:00:00,#VALUE!
Mon 12/22/2025,1:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_DE_OMNI_SG,1,2,0.1,100.00%,94.9,0,1,1,24.5,12/22/2025 1:30:00,100
Mon 12/22/2025,1:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_FR_OMNI_SG,3,3,0.3,100.00%,29.8,0,1,1,25.9,12/22/2025 1:30:00,100
Mon 12/22/2025,1:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_IT_OMNI_SG,4,4,1.4,100.00%,26,0,2,2,31,12/22/2025 1:30:00,100
Mon 12/22/2025,1:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_SP_OMNI_SG,10,7,8.8,30.00%,25.8,0,1,1,35,12/22/2025 1:30:00,30
Mon 12/22/2025,1:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_GE_EN_MSG_SSG,14,14,0.3,100.00%,20.8,0,20,20,29,12/22/2025 1:30:00,100
Mon 12/22/2025,1:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_HV_EN_MSG_SSG,7,7,0.2,100.00%,22.5,0,10,10,29,12/22/2025 1:30:00,100
Mon 12/22/2025,1:30:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_HV_EN_PHN_SSG,0,1,0,-,2.6,0,2,2,14,12/22/2025 1:30:00,#VALUE!
Mon 12/22/2025,1:30:00 AM,Other-SBSEG,Payments Risk,SBG_US_OL_PCS_EN_MSG_SG,0,0,-,-,-,0,0,0,19.8,12/22/2025 1:30:00,#VALUE!
Mon 12/22/2025,2:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_DE_OMNI_SG,1,1,0.2,100.00%,21.5,0,1,1,24.5,12/22/2025 2:00:00,100
Mon 12/22/2025,2:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_FR_OMNI_SG,1,1,8.6,0.00%,9.7,0,1,1,25.9,12/22/2025 2:00:00,0
Mon 12/22/2025,2:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_IT_OMNI_SG,2,2,0.1,100.00%,31.7,0,1,1,31,12/22/2025 2:00:00,100
Mon 12/22/2025,2:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_ALL_SP_OMNI_SG,5,7,5.1,0.00%,21.5,0,1,1,35,12/22/2025 2:00:00,0
Mon 12/22/2025,2:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_GE_EN_MSG_SSG,17,17,0.2,100.00%,22.1,0,18,18,29,12/22/2025 2:00:00,100
Mon 12/22/2025,2:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_HV_EN_MSG_SSG,11,11,0.3,100.00%,30,0,12,12,29,12/22/2025 2:00:00,100
Mon 12/22/2025,2:00:00 AM,Mailchimp,Mailchimp,MC_NR_OL_PS_HV_EN_PHN_SSG,4,2,0.9,100.00%,7.3,0,1,1,14,12/22/2025 2:00:00,100
